id,id_narudzba_kupca,id_artikl,kolicina
133,18,216,33
134,18,213,35
135,18,169,20
136,18,168,42
137,18,161,49
138,19,409,14
139,19,410,26
140,19,406,40
141,19,403,14
142,19,404,20
143,19,401,41
144,20,465,36
145,20,462,28
146,20,262,40
147,20,266,31
148,20,270,35
149,20,267,50
150,20,467,22
151,20,466,33
152,20,464,35
153,21,73,47
154,21,33,10
155,21,72,18
156,21,47,11
157,21,35,47
158,22,302,26
159,22,301,35
160,22,310,46
161,22,303,20
162,22,307,47
163,23,372,30
164,23,374,17
165,23,373,31
166,23,371,10
167,23,378,15
168,23,377,48
169,23,379,35
170,24,65,41
171,24,62,42
172,24,150,26
173,24,11,17
174,24,14,17
175,24,149,26
176,24,12,34
177,24,61,41
178,24,13,48
179,25,333,31
180,25,332,21
181,25,339,47
182,25,331,34
183,25,340,41
184,25,334,34
185,25,337,24
186,25,338,31
187,25,336,24
188,26,476,32
189,26,280,36
190,26,477,17
191,26,275,42
192,26,271,11
193,27,380,35
194,27,374,20
195,27,375,25
196,27,379,21
197,27,371,12
198,27,372,29
199,28,331,11
200,28,334,45
201,28,336,36
202,28,340,13
203,28,333,28
204,28,337,25
205,28,335,26
206,28,332,35
207,28,339,19
208,28,338,39
209,29,22,23
210,29,145,22
211,29,67,41
212,29,25,16
213,29,144,18
214,29,69,11
215,29,5,41
216,29,28,25
217,29,89,49
218,30,310,25
219,30,306,15
220,30,308,46
221,30,305,39
222,30,303,19
223,30,309,42
224,30,304,46
225,31,248,20
226,31,198,22
227,31,242,11
228,31,200,37
229,31,246,33
230,31,249,18
231,32,131,48
232,32,85,39
233,32,136,32
234,32,140,38
235,32,39,27
236,33,168,44
237,33,220,10
238,33,213,26
239,33,163,28
240,33,165,26
241,34,495,37
242,34,498,27
243,34,494,15
244,34,500,37
245,34,300,30
246,34,499,26
247,34,291,48
248,34,294,48
249,34,298,30
250,35,298,20
251,35,299,35
252,35,493,23
253,35,295,32
254,35,492,11
255,35,294,46
256,35,499,15
257,35,498,50
258,35,497,32
259,35,300,16
260,36,228,29
261,36,179,25
262,36,221,29
263,36,226,31
264,36,174,47
265,36,224,49
266,36,178,19
267,36,176,43
268,37,488,21
269,37,288,35
270,37,287,34
271,37,289,22
272,37,485,43
273,37,482,32
274,37,483,43
275,37,282,20
276,38,386,17
277,38,389,26
278,38,388,33
279,38,384,42
280,38,387,39
281,38,383,41
282,38,382,18
283,38,385,28
284,39,218,19
285,39,168,19
286,39,170,44
287,39,214,30
288,39,166,30
289,40,339,44
290,40,333,18
291,40,334,29
292,40,338,22
293,40,332,21
294,40,335,21
295,40,331,35
296,41,399,46
297,41,398,28
298,41,395,27
299,41,396,37
300,41,394,36
301,41,392,39
302,41,397,14
303,42,86,43
304,42,49,24
305,42,134,30
306,42,132,49
307,42,87,10
308,42,39,19
309,42,88,46
310,42,82,20
311,42,43,26
312,43,325,42
313,43,330,45
314,43,324,20
315,43,327,16
316,43,326,13
317,43,322,41
318,43,321,16
319,43,323,12
320,43,328,46
321,44,315,24
322,44,313,17
323,44,319,40
324,44,316,48
325,44,317,36
326,44,318,15
327,44,311,39
328,45,447,42
329,45,443,15
330,45,442,24
331,45,450,24
332,45,449,49
333,46,446,39
334,46,447,21
335,46,444,26
336,46,442,40
337,46,450,25
338,46,443,11
339,47,361,33
340,47,367,20
341,47,363,49
342,47,362,26
343,47,364,13
344,47,366,39
345,47,368,10
346,47,370,18
347,48,370,17
348,48,366,21
349,48,364,48
350,48,362,10
351,48,365,27
352,48,367,16
353,49,204,28
354,49,202,50
355,49,203,18
356,49,157,31
357,49,207,30
358,49,205,50
359,49,155,49
360,49,151,48
361,49,160,30
362,50,284,24
363,50,481,21
364,50,490,33
365,50,487,37
366,50,489,31
367,50,286,20
368,50,485,30
