id,naziv,opis,cijena,kolicina,id_kategorija,id_dobavljac
112,Bademi prženi 150g,"""Prženi i slani bademi, vrećica 150 g""",4.98,104,1,50
113,Čaj kamilica 20 filtera,"""Čaj od cvijeta kamilice, 20 filter vrećica""",1.23,290,2,50
114,Čokoladni puding 4x125g,"""Čokoladni puding, paket 4 × 125 g""",1.76,177,1,50
115,Jogurt voćni jagoda 330g,"""Voćni jogurt okus jagoda, čašica 330 g""",1.09,262,1,50
116,Sir trapist 300g,"""Polutvrdi sir Trapist, pakiranje 300 g""",3.87,92,1,50
117,Kobasica domaća 400g,"""Blago dimljena domaća kobasica, vakuum 400 g""",4.24,69,1,50
118,Hrenovke pureće 1kg,"""Pureće hrenovke bez glutena, pakiranje 1 kg""",4.65,138,1,50
119,USB hub 4 porta,"""USB 3.0 hub s 4 brza porta""",8.75,227,4,11
120,Čitač kartica USB 3.0,"""Multi čitač SD/microSD kartica, USB 3.0""",6.43,183,4,11
121,"Monitor LED 24\"" FHD","""LED monitor 24\ 1920×1080 HDMI/DP""",122.45,54,4,11
122,Tipkovnica bežična,"""Bežična tipkovnica s niskim profilom tipki""",17.36,145,4,11
123,Miš gaming RGB,"""Gaming miš 7200 DPI s RGB osvjetljenjem""",21.82,199,4,11
124,Slušalice gaming over-ear,"""Over-ear gaming slušalice s mikrofonom""",32.64,138,4,11
125,Speaker Bluetooth 20W,"""Prijenosni Bluetooth zvučnik 20 W""",27.81,92,4,11
126,Kamera akcijska 4K,"""Vodootporna akcijska kamera 4K/30 fps""",59.44,78,4,11
127,Pametna žarulja Wi-Fi E27,"""LED žarulja E27 s Wi-Fi upravljanjem, 9 W""",11.32,213,4,11
128,Punjač auto 3.4A,"""Dvostruki USB auto punjač 3.4 A""",5.09,267,4,11
129,Kabel Lightning 1m,"""Lightning kabel za iPhone/iPad, dužine 1 m""",6.85,331,4,49
130,Grafička kartica GTX1650,"""NVIDIA GTX 1650 4 GB GDDR6 grafička kartica""",189.9,46,4,49
131,Spremnik za olovke metalni,"""Metalna mrežasta čaša za olovke""",2.18,174,5,13
132,Guma za brisanje 2/1,"""Komplet od 2 gumice za brisanje""",0.64,402,5,13
133,Šiljilo dvostruko,"""Dvostruko metalno šiljilo za olovke""",0.92,239,5,49
134,Ravnalo metal 30cm,"""Metalno ravnalo 30 cm s graviranom skalom""",1.43,214,5,49
135,Folija plastificiranje A4 100/1,"""Folije za plastificiranje A4, set 100 kom""",6.21,88,5,49
136,Koverte C5 50/1,"""Bijele C5 kuverte s trakicom, 50 kom""",3.37,147,5,49
137,Markeri tekstualni 4 boje,"""Set fluorescentnih markera, 4 boje""",2.96,168,5,49
138,Blok za crtanje A3 80g,"""Blok papira A3 80 g/m², 20 listova""",2.19,101,5,49
139,Etikete samoljepljive 100/1,"""Samoljepljive etikete 70×37 mm, 100 kom""",3.12,129,5,49
140,Fascikla harmonika 13 pretinaca,"""Plastična harmonika fascikla s 13 pretinaca""",3.75,193,5,49
141,Vrećice za smeće 60l 20/1,"""Crne vrećice za smeće 60 l, rola 20 kom""",2.08,218,3,8
142,Gel za tuširanje 250ml,"""Gel za tuširanje s aloe verom, 250 ml""",1.96,276,3,8
143,Dezodorans roll-on 50ml,"""Roll-on dezodorans bez alkohola, 50 ml""",2.64,144,3,8
144,Krema za ruke 100ml,"""Hidratantna krema za ruke s karite maslacem, 100 ml""",2.83,152,3,8
145,Pamučni štapići 200/1,"""Pamučni higijenski štapići, 200 kom""",0.85,326,3,8
146,Brisač poda s krpom,"""Plosnati brisač poda s mikrovlaknenom krpom""",7.44,89,3,8
147,Odmašćivač kuhinjski 750ml,"""Snažan sprej za odmašćivanje kuhinjskih površina, 750 ml""",3.27,174,3,8
148,Osvježivač WC tablete 2/1,"""WC osvježivač u tabletama, pakiranje 2 kom""",1.56,219,3,50
149,Sok jabuka 1l,"""100 % prirodni sok od jabuke, 1 l""",1.78,267,2,50
150,Pivo IPA 0.5l,"""Craft pivo IPA, boca 0.5 l""",2.12,113,2,50
151,Lopta nogometna V5,"""Nogometna lopta veličine 5, PU površina""",14.25,327,6,14
152,Lopta košarkaška V7,"""Košarkaška lopta veličine 7, gumirana""",17.48,263,6,14
153,Utezi bučice 2x5kg,"""Set bučica od lijevanog željeza, 2 × 5 kg""",24.87,396,6,14
154,Prostirka za jogu 6mm,"""Protuklizna joga prostirka debljine 6 mm""",9.65,467,6,14
155,Traka elastična za vježbanje,"""Elastična fitness traka, srednji otpor""",4.12,501,6,14
156,Konopac za preskakanje čelični,"""Podesivi čelični konop za preskakanje""",6.74,249,6,14
157,Rukavice fitness M,"""Podstavljene fitness rukavice veličina M""",7.86,118,6,14
158,Boca sportska 750ml,"""Sportska boca za vodu, BPA free, 750 ml""",4.53,244,6,14
159,Štitnici za koljena S/M,"""EVA štitnici za koljena, veličina S/M""",8.39,242,6,14
160,Daska za balans drvena,"""Drvena balans-daska promjera 40 cm""",19.22,174,6,14
161,Puzzle 1000 'Duboko more',"""Puzzle s motivom podmorja, 1000 kom""",7.29,152,7,16
162,Kocke drvene set 50kom,"""Set od 50 drvenih kocaka u boji""",11.18,171,7,16
163,Lutka platnena 35cm,"""Platnena lutka s pletenom kosom, visina 35 cm""",9.46,68,7,16
164,Autić metalni 1:64,"""Metalni model automobila mjerilo 1:64""",3.12,303,7,16
165,Plastelin set 12 boja,"""Mekani plastelin u 12 boja, netoksičan""",5.38,190,7,16
166,Plišana panda 25cm,"""Meka plišana igračka panda, 25 cm""",8.77,101,7,16
167,Dječji bubanj set,"""Mini bubanj set s dvije palice""",13.54,57,7,16
168,Građevinski set 250kom,"""Konstrukcijske kocke kompatibilne, 250 kom""",16.92,84,7,16
169,Šah magnetski putni,"""Putni šah s magnetskim figurama""",6.47,141,7,16
170,Teleskop dječji 20x,"""Plastični teleskop za djecu, uvećanje 20×""",14.63,49,7,16
171,Hrana za pse govedina 3kg,"""Suha hrana za pse s govedinom, 3 kg""",6.37,112,8,18
172,Hrana za mačke losos 2kg,"""Suha hrana za mačke s lososom, 2 kg""",5.92,98,8,18
173,Povodac najlonski 1.5m,"""Najlonski povodac dužine 1.5 m, crveni""",3.14,245,8,18
174,Posuda dupla inox 2x400ml,"""Inox dupla zdjela 2 × 400 ml na stalku""",7.05,132,8,18
175,Igračka mačka štap-perje,"""Štap igračka s perjem za mačke""",1.98,287,8,18
176,Krevetić za psa M,"""Plišani krevetić M (60 × 45 cm)""",18.29,73,8,18
177,Pijesak za mačke 10l,"""Bentonitni pijesak, miris lavande, 10 l""",3.54,211,8,18
178,Ogrlica reflektirajuća L,"""Reflektirajuća najlonska ogrlica L""",4.26,166,8,18
179,Grickalice pseće štapići 200g,"""Žvakalice za pse, govedina, 200 g""",2.47,152,8,18
180,Akvarij filter 600L/h,"""Unutarnji filter do 150 l, protočnost 600 L/h""",23.86,58,8,18
181,Brisači set 530/450mm,"""Metlice brisača 530 + 450 mm s univerzalnim adapterom""",8.97,194,9,20
182,Ulje motorno 5W-30 1l,"""Sintetičko motorno ulje 5W-30 ACEA C3, 1 l""",7.43,248,9,20
183,Žarulje H7 55W 2/1,"""Halogene žarulje H7 55 W, 2 kom""",5.56,517,9,20
184,Punjač akumulatora 6/12V,"""Automatski punjač 6/12 V, 4 A""",32.18,246,9,20
185,Navlaka sjedalo univerzalna,"""Navlaka za prednje auto sjedalo, univerzalna""",12.64,395,9,20
186,Kompresor prijenosni 12V,"""Prijenosni kompresor 12 V do 150 PSI""",25.72,347,9,20
187,Tekućina stakla -20°C 5l,"""Zimska tekućina za pranje stakla do −20 °C, 5 l""",3.21,296,9,20
188,Kabeli za paljenje 400A 3m,"""Startni kablovi 400 A, duljina 3 m""",9.84,265,9,20
189,Držač mobitela ventilacija,"""Univerzalni držač mobitela za ventilacijski otvor""",4.35,273,9,20
190,Tester tlaka guma digitalni,"""Digitalni manometar 0–8 bar, LCD zaslon""",6.78,414,9,20
191,Svijeća mirisna lavanda 150g,"""Sojina svijeća mirisa lavande, 150 g""",3.67,406,10,22
192,Okvir foto 10x15 drvo,"""Drveni okvir 10 × 15 cm, natur""",4.22,188,10,22
193,Ukrasni jastuk 45x45 zeleni,"""Ukrasni jastuk 45 × 45 cm, zelena pliš tkanina""",7.96,99,10,22
194,Vaza keramička 25cm,"""Keramička vaza mat bijela, visina 25 cm""",12.73,74,10,22
195,LED lanterna dekor 30cm,"""Dekorativna LED lanterna, visina 30 cm""",14.39,141,10,22
196,Zidni sat vintage 30cm,"""Okrugli zidni sat vintage dizajn, 30 cm""",11.56,83,10,22
197,Tepih pamučni 60x90,"""Pamučni tepih ravnog tkanja 60 × 90 cm""",9.17,138,10,22
198,Stolnjak pamuk 140x200,"""Pamučni stolnjak 140 × 200 cm, karirani""",10.84,172,10,22
199,Podmetači pluteni 6/1,"""Pluteni podmetači za čaše, set 6 kom""",3.05,412,10,22
200,Zavjesa blackout 140x245,"""Blackout zavjesa s ringovima 140 × 245 cm""",19.95,266,10,22
201,Set bučica vinil 2x3kg,"""Vinilne bučice obložene PVC-om, set od 2 × 3 kg""",17.54,88,6,15
202,Reket za tenis aluminijski,"""Aluminijski reket za rekreativni tenis, grip 2""",26.87,65,6,15
203,Odbojkaška lopta V5,"""Lopta za odbojku veličine 5, PU površina""",13.29,124,6,15
204,Pumpa ručna za loptu,"""Kompaktna ručna pumpa s iglom za lopte""",2.83,247,6,15
205,Teretni pojas s utezima 5kg,"""Pojas za trčanje s uklonjivim uteznim vrećicama ukupno 5 kg""",14.92,72,6,15
206,Roler štitnici za zglobove L,"""Set štitnika za koljena, laktove i dlanove, veličina L""",18.41,98,6,15
207,Štoperica digitalna,"""Vodootporna digitalna štoperica s memorijom 60 vremena""",9.63,154,6,15
208,Ruksak trail 20l,"""Lagan trail ruksak kapaciteta 20 l s mrežastim leđima""",24.37,57,6,15
209,Biciklistička kaciga M,"""Kaciga za bicikl s 18 otvora, veličina M (55-59 cm)""",29.84,66,6,15
210,Bidon aluminijski 650ml,"""Aluminijski bidon s brzim ventilom, 650 ml""",6.12,213,6,15
211,Puzzle 500 'Stari grad',"""Puzzle od 500 dijelova s motivom srednjovjekovnog grada""",4.72,173,7,17
212,Plastelin Glow 6 boja,"""Svjetleći plastelin u 6 boja, netoksična formula""",4.17,192,7,17
213,Radioupravljeni auto 1:20,"""RC automobil skala 1:20, domet 30 m""",18.95,84,7,17
214,Plišana žirafa 30cm,"""Meka plišana žirafa visine 30 cm""",7.68,119,7,17
215,Lutka modna s odjećom,"""Modna lutka 29 cm s dodatnom odjećom""",10.56,97,7,17
216,Igra memorije Životinje,"""Kartonska igra memorije s 48 kartica životinja""",3.29,211,7,17
217,Vlak drveni set 40kom,"""Drveni vlak s tračnicama, set od 40 elemenata""",15.73,74,7,17
218,Pištolj na vodu 600ml,"""Plastični pištolj na vodu kapaciteta 600 ml""",3.58,182,7,17
219,Set magičnih karata trik,"""Špil karata s uputama za 10 magičnih trikova""",2.84,136,7,17
220,Kinetički pijesak 1kg,"""Kinetički pijesak u kutiji, težina 1 kg""",6.49,164,7,17
221,Sapun šampon za pse 250ml,"""2-u-1 sapun i šampon sa zobom, 250 ml""",3.96,147,8,19
222,Češalj za mačke metalni,"""Metalni češalj s dvostrukim zupcima za mačke""",2.37,192,8,19
223,Akvarij biljke plastika 6/1,"""Set od 6 dekorativnih plastičnih biljaka za akvarij""",4.21,88,8,19
224,Sjemenke za ptice 2kg,"""Mješavina sjemenki za kanarince i zebice, 2 kg""",4.86,109,8,19
225,Hrana za hrčke 800g,"""Kompletna hrana za hrčke s voćem, 800 g""",3.52,95,8,19
226,Transporter mačka 48x32x30,"""Plastični transporter s metalnim vratima 48×32×30 cm""",21.45,61,8,19
227,Fontana za vodu ljubimci 2l,"""Električna fontana zapremine 2 l s filterom""",19.73,57,8,19
228,Grebalica stup 60cm,"""Grebalica za mačke, stup obložen sisalom visine 60 cm""",17.82,86,8,19
229,Kaputić za psa S,"""Vodootporni kaputić za pse male pasmine, veličina S""",9.16,114,8,19
230,Vrećice za izmet 4x15,"""Rola vrećica za pseći izmet, 4 × 15 kom""",1.92,273,8,19
231,Prekrivač gepek vodootporni,"""Vodootporni zaštitni prekrivač prtljažnika 140×120 cm""",18.56,77,9,21
232,Kofer auto krovni 400l,"""Plastični krovni kofer zapremine 400 l sa zaključavanjem""",139.84,34,9,21
233,Pasta za poliranje metalik 250ml,"""Pasta za obnovu metalik laka, 250 ml""",6.27,102,9,21
234,Gumene prostirke set,"""Univerzalne gumene podne prostirke, set 4 kom""",17.42,89,9,21
235,Sjajilo za gume 500ml,"""Sprej sjajilo i zaštita za gume, 500 ml""",4.67,123,9,21
236,Čistač klima sprej 500ml,"""Antibakterijski sprej za čišćenje auto klime, 500 ml""",5.91,98,9,21
237,Auto utičnica USB QC3.0,"""Punjač u upaljač s dvostrukim USB QC 3.0 izlazom""",7.84,183,9,21
238,Kit za krpanje gume,"""Crijevo i brzi čepovi za hitan popravak gume""",5.36,112,9,21
239,Navlaka volan eko koža,"""Navlaka za volan od eko kože Ø 38 cm""",6.18,141,9,21
240,Osvježivač zraka auto limun 3/1,"""Kartice osvježivača zraka miris limuna, 3 kom""",1.83,207,9,21
241,Ukrasna svijeća stup 10x7,"""Dekorativna svijeća stup 10×7 cm, boja pijeska""",3.44,186,10,23
242,Košara pletena 30cm,"""Okrugla pletena košara promjera 30 cm""",8.91,98,10,23
243,Lampioni LED bakrena žica 3m,"""LED lampioni na bakrenoj žici, dužina 3 m, USB""",6.75,129,10,23
244,Ogledalo okruglo 40cm,"""Okruglo zidno ogledalo s kožnom trakom Ø 40 cm""",21.56,53,10,23
245,Figura dekorativna slon 15cm,"""Keramička figura slona visine 15 cm, zlatna""",7.08,157,10,23
246,Saksija keramička 18cm,"""Keramička saksija s uzorkom promjera 18 cm""",6.92,113,10,23
247,Pladanj drveni servirni 45cm,"""Prijanjajući drveni servirni pladanj 45×30 cm""",9.37,64,10,23
248,Jastučić mirisni ormar 2/1,"""Mirisni jastučići za ormar, lavanda, 2 kom""",2.49,214,10,23
249,Poster zidni 'Planine' A2,"""Art poster s motivom planina, format A2""",4.63,121,10,23
250,Stalak za svijeće metalni 2/1,"""Set metalnih svijećnjaka, 2 visine""",11.27,72,10,23
251,Škare za živicu teleskopske,"""Teleskopske škare za rezanje živice, duljina 70–100 cm""",18.47,76,11,24
252,Kanta za zalijevanje 10l,"""Plastična zelena zalijevača kapaciteta 10 l""",4.28,134,11,24
253,Motika uska 16cm,"""Uska motika širine sječiva 16 cm, drvena drška""",3.97,89,11,24
254,Rukavice vrtne XL,"""Vrtne rukavice presvučene lateksom, veličina XL""",2.34,211,11,24
255,Sjekira kamperska 600g,"""Kompaktna kamperska sjekira težine 600 g s omčom""",11.76,57,11,24
256,Kolica za vrt 65l,"""Plastična vrtna kolica zapremine 65 l""",23.92,42,11,24
257,Crijevo vrtno 20m,"""PVC vrtno crijevo Ø ½\ duljina 20 m""",11.35,98,11,24
258,Prskalica ručna 5l,"""Ručna tlačna prskalica zapremine 5 l""",15.66,64,11,24
259,Sjemenke rajčica 30g,"""Sjeme sorte „Volovsko srce”, 30 g""",1.42,187,11,24
260,Folija agrotekstil 1x10m,"""Crni agrotekstil 50 g/m², rola 1 × 10 m""",6.84,106,11,24
261,Mikser ručni 300W,"""Električni ručni mikser 300 W, 5 brzina""",21.48,73,12,26
262,Toster dvostruki 800W,"""Toster s dva utora, 6 stupnjeva zapečenosti, 800 W""",19.63,88,12,26
263,Blender stakleni 1.5l,"""Stakleni blender 1,5 l, nož od nehrđ. čelika""",28.95,52,12,26
264,Čajnik električni 1.7l,"""Električni čajnik 2 200 W, kapacitet 1,7 l, inox""",17.24,96,12,26
265,Pekač kruha 750g,"""Automatski pekač kruha do 750 g, 12 programa""",45.31,33,12,26
266,Aparat za kavu kapsule,"""Espresso aparat za kapsule, tlak 19 bar""",68.42,27,12,26
267,Rezač hrane električni,"""Električni rezač debljine reza 0–15 mm, 150 W""",54.87,21,12,26
268,Dehidrator voća 250W,"""Aparat za sušenje voća i povrća, 5 pladnjeva""",38.26,44,12,26
269,Aparat za vafle 700W,"""Električni pekač za vafle 700 W, neprianjajući""",24.18,58,12,26
270,Multipraktik 600W,"""Kuhinjski robot 600 W s deset nastavaka""",79.54,19,12,26
271,Knjiga 'Na Drini ćuprija',"""Ivo Andrić, tvrdi uvez, 368 str.""",11.72,81,13,28
272,Knjiga 'Mali princ',"""Antoine de Saint-Exupéry, meki uvez, 96 str.""",6.45,233,13,28
273,Knjiga '1984' - Orwell,"""George Orwell, meki uvez, 352 str.""",8.37,173,13,28
274,Kuharica mediteranska,"""Kulinarski recepti Mediterana, 250 str.""",14.26,242,13,28
275,Roman 'Derviš i smrt',"""Meša Selimović, tvrdi uvez, 504 str.""",12.88,69,13,28
